"Maxine Hong Kingston","6110"
"Blockson","6636"
"David Thompson","4998"
"Anna Wimschneider","9074"
"Neil Waldman","6505"
"Claude Croisetière","13364"
"Isabel Alcántara","9092"
"Lauraine Leblanc","7975"
"Khalil Gibran","6688"
"Edward Lear","9031"
"Alex Ogg","8051"
"Werner Schmitz","7861"
"Vikram Chandra","1766"
"Alison Webster","7997"
"Hella S. Haasse","2672"
"Karl Albrecht","11824"
"Carol Smith","5297"
"Susan","13926"
"Joyce Carol Oates","3924"
"Renée Zucker","9431"
"Judi Lawson Wallace","1563"
"Ed Naha","15143"
"Dan Papia","9053"
"Carol Saline","13480"
"Elwyn Hartley Edwards","15371"
"Marcos McPeek Villatoro","10320"
"Leah Furman","11795"
"Marty Bucella","8343"
"Margot Anand","4219"
"Carol Brown Janeway","717"
"B.M. Mooyaart","1181"
"C.David Heymann","6693"
"Anne Marie Winston","7880"
"Charles Willeford","15065"
"Carla Wills-Brandon","13341"
"Joe Musser","5963"
"Philip B. Crosby","11826"
"Jessica Wulf","6487"
"C. E. Poverman","14021"
"Courtland L. Bovee","1652"
"Parris Afton Bonds","11630"
"Lorraine Pintus","14953"
"Nobuyuki Anzai","14047"
"Terence Dickinson","8449"
"Reay Tannahill","1070"
"Naako Takeuchi","9435"
"Linda Bolton","4122"
"Monique Truong","14878"
"Frank MacCourt","7619"
"Joan McEvers","11702"
"Jr Samuel A. Schreiner","15202"
"Irv Docktor","3887"
"Ian Page","15259"
"Charles Schwab","1882"
"Tohru Fujisawa","7778"
"Stoddard","10086"
"Arthur L. Burton III (Alb3)","9768"
"Belle Yang","1098"
"Nicolas Rey","13552"
"Hazel Holt","15640"
"Barry Clifford","5375"
"Sela Ward","12315"
"Paula Fox","6176"
"Ed Kramer","10223"
"Jacques Aubert","13603"
"Jane Browne","5949"
"Karl Jaspers","13704"
"Joan M. Anderson","5743"
"M. E. Bradford","9347"
"Alain De Botton","950"
"Yasunari Kawabata","14348"
"Frank McSherry","8977"
"Ann Dunnigan","12555"
"Stephen L. Burns","13906"
"Tamilee Webb","10052"
"Zelazny","2992"
"Lindsay Clarke","3431"
"Bob Greene","7499"
"Arman Dansh","1638"
"Jeff Rovin","3407"
"Africa Fine","6322"
"Nevins","9489"
"L. Moeri","8875"
"Jerry Pournelle","3071"
"Toni Weschler","10524"
"Valerie W. Wesley","13099"
"Mignon Eberhart","6334"
"W. Somerset Maugham","4070"
"Alfons","9277"
"John Logue","9830"
"E. A. Wallis Budge","15611"
"Colette Dowling","6208"
"Sir","10998"
"Thomas Mann","4104"
"Maggie O'Farrell","8090"
"Walter M. Miller","13694"
"Jonathan Ames","5237"
"Shirley Lord","15240"
"Stephen R. Lawhead","2398"
"Rena Kornreich Gelissen","670"
"Dr. Frances Cress Welsing","5397"
"Virgil","4187"
"Steve Lawhead","1623"
"Crabbe Evers","2783"
"Greg; Stirling","14392"
"Neal McPheeters","12647"
"Judith Bowen","1828"
"Edward Humes","13863"
"E. L. Blumenschein","14504"
"Frances Burnett","12992"
"Mabel Watts","12129"
"David Fontana","3025"
"Wayne G. Hammond","9948"
"Antoine Volodine","9622"
"William Noble","9486"
"Philipp Vandenberg","4307"
"Elizabeth Foxwell","12936"
"Winifred Elze","13667"
"George Tyler Miller","14572"
"Sandra Chastain","9419"
"Michael S Lief","7864"
"Kathlyn Gay","10465"
"Shel Silverstein","994"
"John Case","1558"
"Ian G. Saunders","12727"
"E","15123"
"Phil Georgeff","5376"
"Laura Esquivel","729"
"Michele Fitoussi","4506"
"M.D. Levinson","8736"
"Donald S Olson","8037"
"Flannery O'Connor","1607"
"John Connelly","3297"
"Miwa Ueda","9052"
"June Callwood","5075"
"Christin Rickley","11435"
"Gillian E. Hanscombe","10645"
"Braun Lilian Jackson","4204"
"Daniela Huzly","3841"
"Matthew Winkler","14363"
"Sheri Reynolds","3451"
"Rod Colvin","10887"
"Margaret Atwood","412"
"Hank Searls","15284"
"John Peterson","5608"
"Charles","5317"
"David Shibley","11379"
"Richard Lockridge","12971"
"Albert Bichler","3740"
"B. Blake Levitt","9578"
"Marjorie Weinman Sharmat","11126"
"Robert Browning","8917"
"William Wright","10901"
"Jeffrey E. Young","8762"
"K. B. Bogen","9459"
"Jovian Weigel","5395"
"Stacey D'Erasmo","11510"
"Beth Teitelman","6831"
"Eva Moldenhauer","15556"
"Lori Foster","8372"
"Scott B. Smith","5450"
"Erik Wilson","5715"
"Cate Tiernan","9110"
"Brian Wilson","13048"
"Joseph Martos","3631"
"Helene Cixous","15031"
"Golden Books","599"
